id,special_id,content,user_id
1000001,1000001,毎年この優待を楽しみにしています。,1000001
1000002,1000001,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう1枚購入を目指してバイトを頑張っています。,1000002
1000003,1000001,値段相応ですかね。,1000003
1000004,1000001,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000005,1000002,毎年この優待を楽しみにしています。,1000005
1000006,1000002,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう2枚購入を目指してバイトを頑張っています。,1000006
1000007,1000002,値段相応ですかね。,1000007
1000008,1000002,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000009,1000003,毎年この優待を楽しみにしています。,1000001
1000010,1000003,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう3枚購入を目指してバイトを頑張っています。,1000002
1000011,1000003,値段相応ですかね。,1000003
1000012,1000003,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000013,1000004,毎年この優待を楽しみにしています。,1000005
1000014,1000004,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう4枚購入を目指してバイトを頑張っています。,1000006
1000015,1000004,値段相応ですかね。,1000007
1000016,1000004,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000017,1000005,毎年この優待を楽しみにしています。,1000001
1000018,1000005,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう5枚購入を目指してバイトを頑張っています。,1000002
1000019,1000005,値段相応ですかね。,1000003
1000020,1000005,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000021,1000006,毎年この優待を楽しみにしています。,1000005
1000022,1000006,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう6枚購入を目指してバイトを頑張っています。,1000006
1000023,1000006,値段相応ですかね。,1000007
1000024,1000006,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000025,1000007,毎年この優待を楽しみにしています。,1000001
1000026,1000007,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう7枚購入を目指してバイトを頑張っています。,1000002
1000027,1000007,値段相応ですかね。,1000003
1000028,1000007,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000029,1000008,毎年この優待を楽しみにしています。,1000005
1000030,1000008,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう8枚購入を目指してバイトを頑張っています。,1000006
1000031,1000008,値段相応ですかね。,1000007
1000032,1000008,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000033,1000009,毎年この優待を楽しみにしています。,1000001
1000034,1000009,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう9枚購入を目指してバイトを頑張っています。,1000002
1000035,1000009,値段相応ですかね。,1000003
1000036,1000009,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000004
1000037,1000010,毎年この優待を楽しみにしています。,1000005
1000038,1000010,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう10枚購入を目指してバイトを頑張っています。,1000006
1000039,1000010,値段相応ですかね。,1000007
1000040,1000010,いとこから勧められて買いました。この会社の株価を追うのが楽しみです。,1000008
1000041,1000011,毎年この優待を楽しみにしています。,1000001
1000042,1000011,こんなお得な優待はなかなか巡り合えません。お小遣いをためて、この株を買ってよかったです。現在、もう11枚購入を目指してバイトを頑張っています。,1000002
